Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,1,1,85000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,2nd Toll Gate Oral Estate Lekki Lagos,5.0,6.0,6.0,1,1,0,160000000.0
4 Bedroom Semi Detached Duplex+ Jacuzzi,4 BEDROOM HOUSE FOR SALE,2nd Toll Gate Lekki Lagos,4.0,5.0,5.0,1,1,0,68000000.0
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,6.0,6.0,1,0,0,290000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Lekki Lagos,3.0,4.0,4.0,1,1,0,150000000.0
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,3.0,4.0,4.0,1,0,1,85000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,2.0,2.0,3.0,1,0,1,70000000.0
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ikoyi Lagos,2.0,3.0,3.0,1,0,1,180000000.0
5 Bedroom Semi Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,0,0,0,195000000.0
5bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,0,0,550000000.0
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,0,0,600000000.0
Brand New 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,0,0,330000000.0
Exquisite 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,1,0,480000000.0
Luxury 3 Bedroom Duplex + Bq!!!,3 BEDROOM HOUSE FOR SALE,"Justice Coker Est, Opebi Ikeja Lagos",3.0,4.0,4.0,1,0,0,150000000.0
Massive 4bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,0,0,70000000.0
Serviced 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,5.0,5.0,1,0,1,80000000.0
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,1,0,185000000.0
4 Bedroom Semi Detached House,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4.0,5.0,5.0,1,0,1,65000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,130000000.0
3 Bedroom Fully Detached Bungalow,3 BEDROOM HOUSE FOR SALE,Oribanwa Awoyaya Ajah Lagos,3.0,4.0,4.0,1,0,0,29000000.0
"Spacious With Self Compound, Bq And Gate House",4 BEDROOM HOUSE FOR SALE,Wemabod Adeniyi Jones Ikeja Lagos,4.0,5.0,5.0,1,0,0,160000000.0
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,120000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Drive Lekki Lagos,4.0,5.0,5.0,1,1,0,85000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Idado Lekki Lagos,4.0,5.0,5.0,1,0,0,98000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki County Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,200000000.0
All Rooms Ensuite 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,1,0,95000000.0
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,1,0,165000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,1,0,170000000.0
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Adeola Odeku Victoria Island Lagos,3.0,3.0,3.0,1,0,1,160000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki County Ikota Lekki Lagos,4.0,5.0,5.0,1,0,0,85000000.0
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,5.0,6.0,6.0,1,1,0,208000000.0
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,1,0,78000000.0
Luxury 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ajah Lagos,3.0,4.0,4.0,1,1,0,45000000.0
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Idado Lekki Lagos,4.0,5.0,5.0,1,0,1,75000000.0
Furnished 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,1,0,75000000.0
5 Bedroom Apartment,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,6.0,6.0,1,0,1,195000000.0
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Megamound Estate Lekki Lagos,5.0,6.0,6.0,1,1,0,230000000.0
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,0,0,67000000.0
Spacious 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lekki Lagos,4.0,5.0,5.0,1,1,0,85000000.0
Exquisite 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,1,1,0,200000000.0
4 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,6.0,6.0,1,0,0,80000000.0
